smiles,qed
C(=Cc1ccccc1)C1=[O+][Cu-3]2([O+]=C(C=Cc3ccccc3)CC(c3ccccc3)=[O+]2)[O+]=C(c2ccccc2)C1,0.10410253659432996
CC(=O)N1c2ccccc2Sc2c1ccc1ccccc21,0.5813593165338217
Nc1ccc(C=Cc2ccc(N)cc2S(=O)(=O)O)c(S(=O)(=O)O)c1,0.3576146794946529
O=S(=O)(O)CCS(=O)(=O)O,0.538723158374717
CCOP(=O)(Nc1cccc(Cl)c1)OCC,0.7900873558027649
O=C(O)c1ccccc1O,0.6102585058580265
CC1=C2C(=COC(C)C2C)C(O)=C(C(=O)O)C1=O,0.6921211569723765
O=[N+]([O-])c1ccc(SSc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1,0.3746913139885062
O=[N+]([O-])c1ccccc1SSc1ccccc1[N+](=O)[O-],0.46467561625545395
CC(C)(CCC(=O)O)CCC(=O)O,0.6653758466878192
O=C(O)Cc1ccc(SSc2ccc(CC(=O)O)cc2)cc1,0.7514428594545824
O=C(O)c1ccccc1SSc1ccccc1C(=O)O,0.8164911337226565
CCCCCCCCCCCC(=O)Nc1ccc(SSc2ccc(NC(=O)CCCCCCCCCCC)cc2)cc1,0.08647341442260587
Sc1cccc2c(S)cccc12,0.587083685876803
CCOP(N)(=O)c1ccccc1,0.7257560862681096
NNP(=S)(NN)c1ccccc1,0.3032465141928804
O=C1C(O)=C(CCCc2ccc(Oc3ccccc3)cc2)C(=O)c2ccccc21,0.5926494106138749
CC(C)N(C(C)C)P(=O)(OP(=O)(c1ccc([N+](=O)[O-])cc1)N(C(C)C)C(C)C)c1ccc([N+](=O)[O-])cc1,0.1732476226039506
c1ccc2c(c1)Sc1ccccc1S2,0.5491645828266539
Cc1ccccc1NC(=N)Nc1ccccc1C,0.5516976483680794
CCCNP(=S)(NCCC)NCCC,0.5373825675432874
O=C1OC(=O)c2c1ccc1ccccc21,0.4808438115191275
Clc1ccnc2c1ccc1c(Cl)ccnc12,0.5605308954458613
O=C(OOC(=O)c1ccccc1)c1ccccc1,0.5996635086620677
c1ccc2nsnc2c1,0.5504287970242819
CN(C)C1=[S+][Zn-2]2(S1)SC(N(C)C)=[S+]2,0.37006846995524345
CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,0.29472034504927447
Nc1nc(O)c2nn[nH]c2n1,0.44742254074845933
CS(=O)(=O)OCCCCOS(C)(=O)=O,0.453312740145793
Nc1nc(S)c2nc[nH]c2n1,0.38716154254528884
Sc1ncnc2[nH]cnc12,0.43001493268881763
COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,0.8325220081385356
CN(CCCl)CCCl,0.555740070043485
CS(C)=O,0.3981850774633207
CCCCOB(OCCCC)OCCCC,0.3794780391287241
CC1CC(C)(C)OB(OC(C)CC(C)(C)OB2OC(C)CC(C)(C)O2)O1,0.6641825757139377
c1ccn2nnnc2c1,0.49573981092448927
c1ccn2nncc2c1,0.511375604737478
Clc1ccc(Cl)c(SSc2cc(Cl)ccc2Cl)c1,0.5381626812881597
CN(C)c1ccc(SSc2ccc(N(C)C)cc2)cc1,0.7433664639102462
Brc1ccc(SSc2ccc(Br)cc2)cc1,0.602004841497772
Cc1ccc(SSc2ccc(C)cc2)cc1,0.6907529586436183
COc1ccc(SSc2ccc(OC)cc2)cc1,0.7490445569345346
NC1(C(=O)O)CCCC1,0.5363410307840555
CC(C)(Br)C(=O)C(Br)Br,0.7145298104048745
CCOC(=S)SCCSC,0.5039572470343311
CCOCC(C)(CO)CC(C)CO,0.6303819327121722
O=C(O)C1CC1,0.5036005279684653
O=C(O)C1(O)CC(O)C(O)C(O)C1,0.3180309828296054
Nc1c(Cl)cc(Cl)cc1C(=O)O,0.6923332593166821
CCCCCOC(=S)S,0.3880064676156185
O=C(O)c1ccc([N+](=O)[O-])cc1S(=O)(=O)O,0.4515865462048281
NC(=O)c1cc(O)c(O)c(O)c1,0.440502421776654
C1C[S+]2CC[S+]1CC2,0.432047117095998
Nc1cc(Cl)c(S(=O)(=O)O)cc1Cl,0.5809780596218473
CC12CCC(C(Br)C1=O)C2(C)CS(=O)(=O)O,0.6215290299100492
CCC(C)(C(=O)O)C(=O)O,0.5706361207904818
CCOC(=O)C(=O)C1CCCCC1=O,0.3834218276714136
CCOC(=O)CNS(=O)(=O)c1ccccc1,0.7655100294000201
CCN(CC)C(C)(O)CN,0.5486343420684526
Cc1cccc2c(=O)c3ccccc3oc12,0.5329743954634363
CCCCCCCCCCCC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.08441035989536709
C1CN[Co-4]23(N1)(NCCN2)NCCN3,0.273085955448823
CC(C)OC(=S)SSC(=S)OC(C)C,0.5572142298443694
O=C(Nc1ccccc1)OCC1OCOC(COC(=O)Nc2ccccc2)C1OC(=O)Nc1ccccc1,0.35867857350768034
OCC1OCOC2COCOC12,0.5603830097660332
CC(=O)OC1C(OC(C)=O)C(OC(C)=O)C2(CO2)C(OC(C)=O)C1OC(C)=O,0.3309583850743358
CCN(CC)C(=O)N1CCN(C)CC1,0.6541651065181895
CC(=O)OC1COC(c2ccccc2)OC1C1OC(c2ccccc2)OCC1OC(C)=O,0.6530179975095084
Oc1ncnc2[nH]ncc12,0.5365398515296618
O=C1O[Cu-5]2(O)(O)(OC1=O)OC(=O)C(=O)O2,0.34318889857687873
O=Nc1ccc(O)c(N=O)c1O,0.6581375294756425
Oc1ccc(Nc2ccccc2)cc1,0.7042985839414946
CCCCCCc1ccc(O)cc1O,0.7064082483225956
CCCCCCCC[N+]12CN3CN(CN(C3)C1)C2,0.5063598962100986
OC1COCOC1C(O)C1OCOCC1O,0.5009320069261176
CN(C)C(=S)SSC(=S)N(C)C,0.46886077125428943
O=[N+]([O-])c1ccc(C=Cc2ccc([N+](=O)[O-])cc2S(=O)(=O)O)c(S(=O)(=O)O)c1,0.296411612971691
CCc1cc[n+]([Mn](SC#N)(SC#N)([n+]2ccc(CC)cc2)([n+]2ccc(CC)cc2)[n+]2ccc(CC)cc2)cc1,0.19557162557956112
N=c1[nH][nH]c(=N)[nH]1,0.26520467287662913
O=S(=O)(O)CCO,0.4587976814807516
O=C1CSC(=S)N1,0.47631464252639594
C1CCNCC1.S=C(S)N1CCCCC1,0.5044597191766281
C1SCSCS1,0.5027739103025061
CCC(CC)(C(=O)O)C(=O)O,0.6004933783737619
N#CC(=Cc1ccccc1)c1ccccc1,0.5407315643309687
N#CNC(=N)N,0.15138549466014725
O=C1C(O)=C(CCCC2CCC3CCCCC3C2)C(=O)c2ccccc21,0.7610539153931256
O=[N+]([O-])c1cc([As](=O)(O)O)ccc1O,0.35210117154039805
O=C(O)c1ccccc1S,0.6036422575213181
CCOC(=O)C(C(=O)OCC)C(C(=O)OCC)C(=O)OCC,0.3430679104137858
C=C(C)CS(=O)(=O)O,0.44265964726851864
CCSc1ccc(N=[N+]([O-])c2ccc(SCC)c(Cl)c2)cc1Cl,0.22873546238395412
COC1C(OC(N)=O)C(O)C(Oc2ccc3c(O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2C)OC1(C)C,0.18374628974710105
O=C1C(=Cc2ccccc2)CCCC1=Cc1ccccc1,0.7112940019938994
CCCCCCC(O)CCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCC(O)CCCCCC)OC(=O)CCCCCCCCCCC(O)CCCCCC,0.030886387986325373
